trade_date,us_overnight,cn_gap,cn_intraday,cn_full,cn_breadth
2024-01-22,0.02831876003621623,0.035040486434485096,-0.03637816346714261,-0.00266650261170015,0.5
2024-01-23,0.03824209186136931,-0.006798693439123637,0.07092703700799977,0.06349738195444535,1.0
2024-01-24,0.004369083983275945,0.0003673691239311827,0.006945860288740469,0.007480698237434779,0.3
2024-01-25,0.004952839979023416,-0.011896538167250115,0.03652224227905565,0.024137246725148144,0.9
2024-01-26,-0.004279178902554049,-0.01905675838306988,-0.01586649860467937,-0.034697509188893694,0.0
2024-01-29,-0.01875616552709817,-0.014913987774338212,-0.09510340352706724,-0.10871882048951358,0.0
2024-01-30,0.02980295801723216,-0.014743086847170284,-0.03284076327524179,-0.047076217280410594,0.1
2024-01-31,0.011664923193447663,-0.014176171824363459,-0.011480544382359303,-0.02548697393019248,0.2
2024-02-01,-0.022429423484064535,-0.009479879153894167,0.07542492863579105,0.06520695790763872,1.0
2024-02-02,0.02376972564415435,-0.00401613838720013,-0.02588794969979563,-0.029731068822701767,0.3
2024-02-05,0.034214136313187794,-0.012621233930148124,-0.029141094573965,-0.041333986966145854,0.4
2024-02-06,0.004058149462346417,-0.02470376116184857,0.13228316871070206,0.10437683456031369,1.0
2024-02-07,-0.005865618197338695,-0.004141158618130114,0.002233992415959751,-0.001950201666332263,0.5
2024-02-08,0.01666766253834213,0.022067828001130697,0.01860973739203836,0.04123823923567035,0.9
2024-02-19,-0.009082666112007398,0.05547747567524277,0.09515701660313462,0.15610477384473848,1.0
2024-02-20,-0.009082666112007398,-0.014586148406030387,0.018631684317092046,0.0035076750997700247,0.5
2024-02-21,-0.0306711052110192,-0.03361877310522423,0.004498311141350064,-0.029240625362926053,0.1
2024-02-22,-0.0042135660597701794,0.043255751510519545,-0.016958587359243216,0.025477136498715035,1.0
2024-02-23,0.06030176456044438,0.020926394031573415,-0.012982301434730236,0.007559117992696962,0.7
2024-02-26,-0.03922150838382268,-0.02552867033343579,0.03348644253362254,0.007046855450452106,0.6
2024-02-27,0.006322935902590454,-0.012235389505402006,0.07549678062282905,0.06234437522617189,1.0
2024-02-28,0.011236889223199598,-0.012294240493907904,-0.06979473936066873,-0.08124682851972145,0.0
2024-02-29,-0.02011018402336675,0.003096484893501761,0.05469358363753418,0.05786982058508683,1.0
2024-03-01,0.030027510508236842,0.005505623355484368,0.059691170989523853,0.06561047843767234,1.0
2024-03-04,0.03228462111215043,0.020013764773411036,0.01999831712117899,0.04032125278291658,1.0
2024-03-05,0.003502751787725933,-0.01681499457453097,0.012108638444654518,-0.004867305707612868,0.3
2024-03-06,-0.012162043685192681,-0.009539091129440125,0.01628688479929987,0.006575307838620081,0.3
2024-03-07,0.017557613754241086,-0.0028319075450136343,-0.03418581189127331,-0.036953687814780575,0.1
2024-03-08,0.010524680671907904,0.03254543455444096,0.02570256917705509,0.05871693385673917,1.0
2024-03-11,-0.03693004872127159,-0.040921534222210454,0.050685487168144874,0.007892102474079033,0.5
2024-03-12,-0.031104875435100533,-0.007681129926428276,-0.015782772656414378,-0.023351289450955125,0.1
2024-03-13,0.010618974803576531,0.029776188203901755,-0.041331197437607214,-0.012829839867615845,0.2
2024-03-14,-0.015319904509605076,-0.02613156193205186,0.03864969109837939,0.0114965266572285,0.7
2024-03-15,-0.02332127844829529,-0.010033843533028474,0.06055779668041805,0.04987949828307984,0.9
2024-03-18,-0.008756127885257503,-0.0006940051734141362,0.020479308898480552,0.019687929660327574,1.0
2024-03-19,0.014575013006247728,-0.022970140474793854,0.031879684539348044,0.008152174003138956,0.5
2024-03-20,-0.00812360563036001,-0.00909746016093409,-0.0006811450978230771,-0.009818055053713071,0.2
2024-03-21,0.017600796350786797,-0.006108056095994763,-0.003712218234562914,-0.00986052808882799,0.3
2024-03-22,0.05971360453737802,-0.007672951250611748,0.009758956829498788,0.0019521800524261224,0.4
2024-03-25,0.0009335930707708217,-0.009738250856908359,-0.029454096312027132,-0.0388604305767558,0.0
2024-03-26,-0.007720720025857409,-0.008835522150523755,-0.04637623856406738,-0.05479748374261896,0.0
2024-03-27,-0.021034136102070868,0.0038309292281746288,-0.05441709806216168,-0.050655437989427045,0.1
2024-03-28,0.0032347913152333653,0.0036277785115188975,0.022037694236217542,0.02565752926801603,1.0
2024-03-29,-0.0054981633024120515,-0.009483538196419361,0.016497698522014947,0.006912244325133754,0.3
2024-04-01,-0.0054981633024120515,0.01113474943882301,0.03509403223731067,0.04661598531253595,1.0
2024-04-02,0.006204835786896368,-0.010302754994079288,-0.020709512458112422,-0.03085735547934685,0.1
2024-04-03,-0.010897356561544525,-0.01270456666670613,-0.031745057290880785,-0.044077488397521805,0.0
2024-04-08,-0.0040622001035866325,-0.008733814430789532,0.018952379822966926,0.009999321576074093,0.6
2024-04-09,-0.0021244212969924623,-0.0029306881059337096,-0.016649710774717608,-0.019570187132197346,0.1
2024-04-10,-0.001228127359965725,-0.006413125530989971,-0.027250309527242545,-0.033502977681436716,0.0
2024-04-11,-0.027250265377643024,0.0021292498222391988,0.004605218976907066,0.006751573470254069,0.5
2024-04-12,0.024317734932720193,0.01577641302766688,0.026678942820165807,0.04296206516824963,1.0
2024-04-15,-0.04393528964455999,-0.008599417771153894,-0.0025229517078931172,-0.011082373704588621,0.4
2024-04-16,-0.03525434907949708,-0.014480370620734383,-0.03086718797144148,-0.044926111814886927,0.1
2024-04-17,0.025852094030842866,0.015807488564998983,0.06889984757554343,0.08588011965465583,1.0
2024-04-18,-0.029290597797241358,-0.01756885722001562,0.015158238182554972,-0.002691858061545227,0.3
2024-04-19,-0.016334222678464017,-0.0065432998141359945,-0.020417562399820087,-0.026823353315474065,0.0
2024-04-22,-0.027206017609559353,-0.06428692560481745,0.029067410162519947,-0.03744917992132814,0.0
2024-04-23,0.02494130119693542,0.017400527663098585,-0.0025045754454676938,0.014914155448479072,0.7
2024-04-24,0.044677025290656,0.0046350514443851635,0.048824390708360976,0.05392532730513024,0.9
2024-04-25,0.04238995559456785,-0.015760324500831268,0.004207896478574347,-0.011587979243645819,0.1
2024-04-26,0.004675626770046915,0.02315964872209747,0.04343767192951566,0.06732149447923157,1.0
2024-04-29,0.052717514544257806,0.006768898418314106,0.0007081858707325472,0.007522154949676352,0.6
2024-04-30,0.01119602132773535,-0.002328789238688611,-0.008417829140351451,-0.01073641227652269,0.1
2024-05-06,0.012946007590527308,0.017245850687861476,-0.030135831819019555,-0.013408081022907536,0.1
